country,country_code_m49,year,month,temp_change_c
Afghanistan,004,2020,1,-0.706
Afghanistan,004,2021,1,0.524
Afghanistan,004,2022,1,2.219
Afghanistan,004,2023,1,-2.389
Afghanistan,004,2024,1,4.274
Afghanistan,004,2025,1,0.631
Afghanistan,004,2020,2,2.488
Afghanistan,004,2021,2,4.021
Afghanistan,004,2022,2,2.18
Afghanistan,004,2023,2,3.367
Afghanistan,004,2024,2,1.016
Afghanistan,004,2025,2,0.969
Afghanistan,004,2020,3,0.566
Afghanistan,004,2021,3,2.499
Afghanistan,004,2022,3,3.508
Afghanistan,004,2023,3,3.67
Afghanistan,004,2024,3,0.611
Afghanistan,004,2025,3,1.378
Afghanistan,004,2020,4,-0.02
Afghanistan,004,2021,4,1.931
Afghanistan,004,2022,4,4.51
Afghanistan,004,2023,4,1.419
Afghanistan,004,2024,4,-0.304
Afghanistan,004,2025,4,4.652
Afghanistan,004,2020,5,1.106
Afghanistan,004,2021,5,2.176
Afghanistan,004,2022,5,2.087
Afghanistan,004,2023,5,1.062
Afghanistan,004,2024,5,1.544
Afghanistan,004,2025,5,4.145
Afghanistan,004,2020,6,1.052
Afghanistan,004,2021,6,2.254
Afghanistan,004,2022,6,0.978
Afghanistan,004,2023,6,2.09
Afghanistan,004,2024,6,1.715
Afghanistan,004,2025,6,2.282
Afghanistan,004,2020,7,0.767
Afghanistan,004,2021,7,1.664
Afghanistan,004,2022,7,1.026
Afghanistan,004,2023,7,1.516
Afghanistan,004,2024,7,2.126
Afghanistan,004,2025,7,2.197
Afghanistan,004,2020,8,1.389
Afghanistan,004,2021,8,0.823
Afghanistan,004,2022,8,-0.524
Afghanistan,004,2023,8,1.286
Afghanistan,004,2024,8,2.254
Afghanistan,004,2025,8,2.232
Afghanistan,004,2020,9,-0.378
Afghanistan,004,2021,9,2.399
Afghanistan,004,2022,9,2.042
Afghanistan,004,2023,9,1.411
Afghanistan,004,2024,9,2.182
Afghanistan,004,2025,9,2.551
Afghanistan,004,2020,10,-1.239
Afghanistan,004,2021,10,-0.624
Afghanistan,004,2022,10,1.405
Afghanistan,004,2023,10,2.734
Afghanistan,004,2024,10,3.165
Afghanistan,004,2025,10,2.475
Afghanistan,004,2020,11,-0.702
Afghanistan,004,2021,11,0.069
Afghanistan,004,2022,11,1.854
Afghanistan,004,2023,11,3.613
Afghanistan,004,2024,11,3.709
Afghanistan,004,2025,11,0.796
Afghanistan,004,2020,12,-2.0
Afghanistan,004,2021,12,1.228
Afghanistan,004,2022,12,0.224
Afghanistan,004,2023,12,2.685
Afghanistan,004,2024,12,-0.776
Afghanistan,004,2025,12,2.416
Albania,008,2020,1,1.11
Albania,008,2021,1,1.949
Albania,008,2022,1,0.577
Albania,008,2023,1,2.946
Albania,008,2024,1,2.6
Albania,008,2025,1,3.226
Albania,008,2020,2,2.233
Albania,008,2021,2,2.142
Albania,008,2022,2,1.43
Albania,008,2023,2,0.631
Albania,008,2024,2,4.233
Albania,008,2025,2,1.346
Albania,008,2020,3,1.717
Albania,008,2021,3,0.234
Albania,008,2022,3,-0.915
Albania,008,2023,3,2.127
Albania,008,2024,3,3.128
Albania,008,2025,3,3.316
Albania,008,2020,4,0.998
Albania,008,2021,4,-0.428
Albania,008,2022,4,0.888
Albania,008,2023,4,0.025
Albania,008,2024,4,3.166
Albania,008,2025,4,1.908
